Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2073,Women,Lifestyle,Blazer Mid,12,4.0,,0.85,0.0,03-11-2024,Online,Hyd,443.86
2074,Men,Training,Flex Trainer,L,-1.0,,0.57,0.0,,Online,Kolkata,1958.47
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,,0.0,2025/07/14,Online,Pune,2345.35
2076,Women,Training,ZoomX Invincible,11,,,,0.0,13-10-2024,Retail,bengaluru,2011.25
2077,Men,Training,ZoomX Invincible,L,,,,0.0,2023-11-21,Online,Pune,3332.66
2078,Women,Basketball,LeBron 20,,0.0,6970.47,,0.0,,Online,Mumbai,262.79
2079,Men,Running,Pegasus Turbo,XL,-1.0,4322.06,,0.0,2025/01/19,Online,bengaluru,279.78
2080,Men,Lifestyle,Blazer Mid,L,,,,0.0,2025-03-31,Online,Bangalore,-1005.89
2081,Men,Training,ZoomX Invincible,L,,,,0.0,,Online,Mumbai,2810.49
2028,Men,Running,Free RN,,-1.0,,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01
2083,Men,Running,Free RN,,,9291.74,,0.0,14-10-2024,Retail,Delhi,-981.21
2084,Men,Training,Metcon 7,M,2.0,,,0.0,2023-12-24,Online,Mumbai,408.39
2085,Men,Basketball,Kyrie Flytrap,,,7561.85,,0.0,2024/12/17,Retail,Kolkata,98.72
2086,Men,Soccer,Mercurial Superfly,L,0.0,,0.45,0.0,2024-10-11,Online,Kolkata,1742.66
2087,Kids,Basketball,Zoom Freak,,,4656.28,,0.0,2024/11/01,Online,Kolkata,3777.5
2088,Women,Running,Free RN,XL,4.0,,,0.0,26-04-2025,Online,Bangalore,2702.93
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,5499.82,02-12-2024,Online,Mumbai,-1076.66
2090,Kids,Lifestyle,Dunk Low,8,,,,0.0,,Retail,Bangalore,163.15
2091,Kids,Running,Air Zoom,11,,9246.88,,0.0,,Retail,Mumbai,1917.55
2092,Kids,Basketball,Zoom Freak,XL,2.0,,1.13,0.0,,Online,Delhi,207.2
2093,Men,Running,Free RN,XL,0.0,,0.29,0.0,,Online,Kolkata,-146.73
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,,0.0,10-11-2024,Retail,Delhi,2974.58
2095,Men,Lifestyle,Waffle One,M,,,,0.0,16-10-2024,Online,Delhi,880.57
2096,Men,Running,Pegasus Turbo,XL,2.0,,,0.0,24-12-2024,Online,Kolkata,288.66
2097,Women,Training,ZoomX Invincible,XL,,7978.89,,0.0,,Online,Bangalore,769.05
2098,Men,Training,ZoomX Invincible,L,,5690.69,0.69,0.0,2024-01-24,Online,hyderbad,98.3
2099,Kids,Soccer,Mercurial Superfly,M,2.0,,0.32,0.0,01-02-2025,Retail,Mumbai,360.97
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,,0.0,2025-07-11,Retail,Mumbai,2287.57
2101,Kids,Running,Free RN,XL,,2010.07,,0.0,2025/07/03,Online,Hyderabad,3398.01
2102,Women,Soccer,Mercurial Superfly,XL,-1.0,,0.77,0.0,10-04-2025,Online,Pune,284.17
2103,Women,Basketball,LeBron 20,XL,-1.0,6777.88,,0.0,2025/01/08,Online,Kolkata,469.61
2104,Men,Basketball,Kyrie Flytrap,,,,,0.0,,Retail,Delhi,2905.91
2105,Kids,Training,Metcon 7,,2.0,5744.7,,0.0,17-11-2024,Retail,Mumbai,1716.04
2106,Women,Running,Free RN,,,,,0.0,,Retail,bengaluru,76.95
2107,Women,Running,React Infinity,M,4.0,,,0.0,2024/08/30,Online,Hyd,-184.69
2108,Kids,Lifestyle,Air Force 1,XL,,,0.27,0.0,15-11-2024,Retail,Mumbai,-338.77
2109,Kids,Basketball,Zoom Freak,M,0.0,,,0.0,29-01-2025,Retail,Kolkata,3791.88
2110,Kids,Running,Air Zoom,12,1.0,,0.42,0.0,2024-12-25,Retail,Pune,-259.29
2111,Men,Lifestyle,Waffle One,,,,1.14,0.0,2024/11/21,Retail,bengaluru,1326.67
2112,Women,Training,Metcon 7,,,2201.54,,0.0,,Retail,bengaluru,697.42
2113,Women,Basketball,Air Jordan,XL,,3939.34,,0.0,2023-12-19,Retail,Pune,2918.93
2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,1488.65,,Retail,Pune,1567.37
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,,0.0,,Online,Kolkata,1969.03
2116,Women,Basketball,LeBron 20,,,4038.32,1.13,0.0,2024/08/27,Online,Hyderabad,2088.55
2117,Women,Training,SuperRep Go,L,0.0,7645.96,,0.0,2024-10-30,Online,Pune,2037.43
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,,0.0,2023-09-21,Online,hyderbad,2696.85
2119,Women,Training,Metcon 7,11,-1.0,,0.41,0.0,05-04-2025,Retail,Kolkata,2887.81
2120,Men,Soccer,Phantom GT,12,,,,0.0,14-12-2024,Retail,Pune,-328.0
2000,Kids,Running,React Infinity,M,-1.0,,,0.0,2023-11-20,Retail,Kolkata,929.75
2122,Kids,Soccer,Mercurial Superfly,,0.0,,,0.0,,Retail,bengaluru,1078.48
2123,Men,Running,Air Zoom,L,,,,0.0,15-09-2024,Retail,Hyd,2195.52
2124,Kids,Basketball,Kyrie Flytrap,L,,6436.11,1.24,0.0,04-07-2025,Online,Kolkata,432.04
2125,Women,Soccer,Tiempo Legend,M,,,,0.0,10-12-2024,Retail,Hyderabad,1051.22
2126,Kids,Running,Pegasus Turbo,L,-1.0,5399.58,,0.0,2024/12/14,Retail,Pune,2508.34
2127,Men,Training,Metcon 7,L,-1.0,4020.5,,0.0,2023-08-19,Online,Mumbai,3718.37
2128,Women,Basketball,LeBron 20,L,,8750.71,,0.0,,Retail,Bangalore,1411.29
2129,Men,Basketball,Zoom Freak,9,,,,0.0,,Retail,Delhi,841.4
2130,Men,Soccer,Premier III,10,3.0,,0.24,0.0,14-09-2024,Online,bengaluru,2962.75
2131,Kids,Running,Free RN,XL,,5561.82,,0.0,,Retail,Mumbai,2227.48
2132,Men,Running,Free RN,L,2.0,,,0.0,,Online,Delhi,3882.22
2133,Men,Training,Metcon 7,XL,,6789.53,,0.0,2024/10/10,Retail,Pune,-166.81
2134,Men,Training,ZoomX Invincible,M,,4738.62,,0.0,06-08-2024,Online,Hyderabad,1009.28
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,hyderbad,2422.38
2136,Kids,Training,ZoomX Invincible,L,1.0,,,0.0,2024-09-15,Online,Pune,3672.24
2137,Men,Soccer,Phantom GT,,0.0,5222.02,0.95,0.0,2025/01/12,Online,Delhi,1796.76
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,,0.0,14-06-2025,Online,Mumbai,1840.09
2139,Women,Basketball,Air Jordan,M,,,,0.0,2025/06/19,Retail,Mumbai,-334.52
2140,Men,Basketball,Zoom Freak,M,,6765.74,,0.0,28-04-2025,Online,Bangalore,-875.45
2141,Kids,Soccer,Tiempo Legend,,,,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47
2142,Kids,Soccer,Mercurial Superfly,,,,,0.0,2024-10-03,Retail,Kolkata,-995.59
2143,Kids,Training,ZoomX Invincible,L,-1.0,,,0.0,2025/03/10,Online,Delhi,1006.66
2144,Women,Lifestyle,Waffle One,,4.0,,,0.0,30-03-2025,Online,Kolkata,2385.1
2145,Men,Lifestyle,Blazer Mid,6,0.0,,0.67,0.0,2024/07/30,Online,Bangalore,1335.45
2146,Kids,Basketball,Air Jordan,XL,,,1.12,0.0,2025/02/15,Retail,Mumbai,-908.85
2147,Women,Soccer,Phantom GT,XL,-1.0,,,0.0,2024-09-14,Online,Hyderabad,-426.53
2148,Men,Basketball,Kyrie Flytrap,,,,,0.0,2025/06/19,Online,Hyd,520.55
2149,Women,Running,Pegasus Turbo,,,,,0.0,2025/05/20,Online,Kolkata,-595.69
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,3445.74,06-07-2025,Online,bengaluru,3221.62
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,,0.0,2025-05-27,Online,bengaluru,2000.85
2152,Women,Running,Free RN,8,,,,0.0,,Online,bengaluru,3819.41
2153,Men,Running,React Infinity,,0.0,,0.09,0.0,2024/08/18,Retail,Pune,1246.58
2154,Kids,Lifestyle,Blazer Mid,XL,,2963.16,,0.0,2025-04-01,Online,Bangalore,2381.85
2155,Men,Soccer,Phantom GT,,3.0,,,0.0,,Online,hyderbad,1475.15
2156,Men,Soccer,Tiempo Legend,M,0.0,,,0.0,31-08-2024,Online,Pune,-286.07
2157,Kids,Soccer,Premier III,,1.0,,,0.0,2025/04/29,Online,Delhi,-701.01
2158,Women,Running,React Infinity,M,-1.0,,0.5,0.0,28-01-2025,Online,Mumbai,514.79
2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,,0.0,,Retail,Delhi,2781.72
2160,Kids,Running,Air Zoom,XL,,,,0.0,2025-03-01,Retail,Mumbai,3744.91
2161,Kids,Lifestyle,Waffle One,M,0.0,5119.41,0.8,0.0,,Online,Pune,1956.8
2162,Men,Lifestyle,Blazer Mid,8,,7662.11,,0.0,,Online,Mumbai,2398.55
2163,Men,Lifestyle,Dunk Low,7,,,1.24,0.0,2025/03/06,Retail,Hyderabad,3344.98
2164,Women,Soccer,Mercurial Superfly,8,0.0,,0.95,0.0,23-10-2024,Online,Pune,-872.9
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,,0.0,2024/11/11,Retail,Kolkata,2460.19
2166,Women,Lifestyle,Air Force 1,M,,7312.38,,0.0,01-02-2025,Online,Mumbai,3364.05
2167,Men,Running,React Infinity,XL,3.0,3055.79,,0.0,,Retail,Mumbai,1259.58
2168,Women,Running,Pegasus Turbo,,,,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49
2169,Kids,Training,Flex Trainer,,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58
2170,Kids,Lifestyle,Air Force 1,M,0.0,,,0.0,2025/06/28,Online,Kolkata,3218.82
2022,Women,Lifestyle,Air Force 1,L,,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92
2172,Women,Training,ZoomX Invincible,M,,7988.99,1.2,0.0,2024/12/17,Online,bengaluru,-909.86
2173,Men,Running,Free RN,L,-1.0,6620.78,,0.0,29-03-2025,Online,Bangalore,3770.03
2174,Women,Soccer,Phantom GT,L,,3883.92,,0.0,,Retail,Pune,428.5
2175,Women,Lifestyle,Blazer Mid,,,,1.16,0.0,,Online,Pune,2457.78
2176,Men,Soccer,Mercurial Superfly,,4.0,,,0.0,04-01-2025,Online,bengaluru,3908.28
2177,Women,Lifestyle,Waffle One,XL,,,,0.0,2025-06-27,Retail,Mumbai,885.37
2178,Men,Running,Free RN,,1.0,,,0.0,28-10-2024,Retail,Bangalore,-983.37
2179,Women,Training,ZoomX Invincible,M,3.0,,,0.0,2024-01-26,Retail,Pune,3135.92
2180,Women,Basketball,LeBron 20,XL,,,,0.0,2024-05-15,Online,Pune,2189.84
2181,Women,Lifestyle,Air Force 1,XL,2.0,,,0.0,2025/01/06,Retail,Delhi,419.58
2182,Kids,Basketball,Zoom Freak,11,,7214.55,,0.0,,Online,Mumbai,-662.77
2183,Kids,Lifestyle,Waffle One,M,,5389.56,,0.0,,Online,Pune,2927.93
2184,Men,Soccer,Mercurial Superfly,XL,4.0,,,0.0,,Retail,Hyderabad,1980.73
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,-615.48
2186,Men,Running,React Infinity,,0.0,,,0.0,,Retail,Bangalore,540.83
2187,Men,Running,React Infinity,L,,7795.32,,0.0,09-11-2024,Online,Mumbai,2402.99
2188,Men,Running,React Infinity,L,-1.0,,,0.0,,Online,Pune,1278.03
2189,Men,Training,SuperRep Go,L,3.0,,0.9,0.0,2024/10/02,Online,Hyd,3628.46
2190,Kids,Basketball,Kyrie Flytrap,L,,4280.01,0.66,0.0,,Online,Delhi,1949.77
2191,Men,Lifestyle,Air Force 1,8,3.0,,,0.0,2024/09/28,Retail,Pune,-1032.88
2192,Men,Basketball,Kyrie Flytrap,XL,-1.0,,,0.0,2023-10-13,Retail,Delhi,554.91
2193,Women,Lifestyle,Waffle One,XL,-1.0,,1.24,0.0,2025-01-17,Retail,Delhi,1803.66
2194,Men,Soccer,Mercurial Superfly,M,,6196.01,,0.0,27-10-2024,Online,hyderbad,926.03
2195,Women,Training,SuperRep Go,,,,0.51,0.0,,Online,Delhi,1041.81
2196,Kids,Soccer,Premier III,L,2.0,2708.73,,0.0,2025-06-30,Online,Delhi,925.63
2197,Kids,Training,ZoomX Invincible,L,3.0,,,0.0,2024-10-06,Online,bengaluru,-418.5
2198,Men,Training,SuperRep Go,7,4.0,,0.65,0.0,2025/01/05,Online,Pune,-169.33
2199,Men,Soccer,Premier III,M,1.0,,,0.0,,Retail,Kolkata,389.94
2200,Men,Basketball,Air Jordan,9,3.0,5570.72,,0.0,,Online,Delhi,1513.76
2201,Women,Training,SuperRep Go,11,,,,0.0,2024-05-10,Online,Mumbai,1403.56
2202,Men,Basketball,Kyrie Flytrap,M,-1.0,7918.93,1.06,475.14,2025/07/04,Retail,Bangalore,1994.42
2203,Men,Lifestyle,Air Force 1,M,0.0,6903.22,,0.0,,Online,Pune,1556.95
2204,Men,Basketball,LeBron 20,7,,7660.41,,0.0,2025/05/17,Online,Delhi,2076.75
2205,Women,Running,React Infinity,XL,0.0,,,0.0,24-04-2025,Retail,Pune,-467.52
2206,Men,Training,Flex Trainer,M,2.0,,,0.0,,Online,Delhi,-524.85
2207,Women,Running,Pegasus Turbo,XL,,,,0.0,,Online,Hyderabad,2101.41
2208,Women,Basketball,LeBron 20,M,,5172.62,0.97,0.0,,Retail,hyderbad,-1074.04
2209,Kids,Training,SuperRep Go,,,,,0.0,2024/09/01,Retail,Hyd,1956.7
2210,Men,Lifestyle,Blazer Mid,XL,,,,0.0,09-08-2024,Retail,Kolkata,701.02
2000,Kids,Training,Metcon 7,,4.0,,0.94,0.0,2024-02-27,Retail,bengaluru,2372.82
2212,Women,Lifestyle,Blazer Mid,L,,7670.82,,0.0,2024/09/23,Online,Kolkata,-87.95
2213,Women,Running,Air Zoom,9,,5714.92,,0.0,,Online,Delhi,3741.14
2214,Men,Basketball,LeBron 20,XL,2.0,5016.03,,0.0,,Retail,Mumbai,1446.0
2215,Men,Basketball,Zoom Freak,XL,3.0,,0.36,0.0,2024/12/16,Online,Kolkata,3254.06
2216,Women,Lifestyle,Air Force 1,M,1.0,3111.62,,0.0,,Online,Hyd,2617.56
2217,Women,Lifestyle,Waffle One,L,,,,0.0,2025/04/15,Retail,Delhi,2190.84
2218,Kids,Soccer,Premier III,6,2.0,,,0.0,,Online,Bangalore,1440.02
2219,Women,Basketball,Air Jordan,M,-1.0,,1.06,0.0,,Online,bengaluru,3305.72
2220,Kids,Training,SuperRep Go,M,,,,0.0,2024/09/09,Online,Kolkata,890.14
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,,0.0,2024-01-06,Retail,Mumbai,-297.05
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69
2223,Kids,Training,Flex Trainer,M,-1.0,9180.15,,0.0,2025-02-15,Online,Kolkata,799.28
2224,Kids,Lifestyle,Dunk Low,,-1.0,,0.12,0.0,24-09-2024,Online,Pune,3278.7
2225,Kids,Basketball,Kyrie Flytrap,11,,,,0.0,,Retail,Hyd,1136.63
2226,Women,Basketball,Zoom Freak,,,,0.31,0.0,2025/06/28,Online,Delhi,-131.04
2021,Men,Running,React Infinity,XL,,2180.71,0.82,0.0,,Retail,Hyd,2277.63
2228,Kids,Basketball,Zoom Freak,,,9382.15,,0.0,2024/08/22,Online,Kolkata,-127.34
2229,Men,Running,Air Zoom,XL,,7143.23,,0.0,2025/03/26,Retail,Mumbai,3284.36
2230,Kids,Lifestyle,Dunk Low,10,,,,0.0,,Online,bengaluru,781.56
2231,Kids,Training,Flex Trainer,9,0.0,,1.05,0.0,2025-01-04,Online,bengaluru,-39.48
2232,Women,Running,Free RN,XL,,2149.28,0.32,0.0,2024/11/17,Online,Kolkata,2409.87
2233,Men,Lifestyle,Air Force 1,XL,0.0,,,0.0,,Online,Kolkata,2398.07
2234,Men,Training,Flex Trainer,,4.0,6189.1,1.12,-2970.77,2024-12-21,Retail,bengaluru,2085.62
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,,0.0,26-02-2025,Retail,bengaluru,2459.63
2236,Men,Soccer,Mercurial Superfly,M,,,,0.0,,Online,Delhi,880.62
2237,Kids,Training,Metcon 7,M,,5089.88,,0.0,2025/06/26,Online,Mumbai,-238.18
2238,Kids,Training,SuperRep Go,,3.0,4348.86,,0.0,,Online,Delhi,662.02
2239,Men,Training,SuperRep Go,XL,,,,0.0,2024/08/04,Online,Kolkata,1750.71
2240,Kids,Basketball,Air Jordan,M,,9520.5,0.48,0.0,2025/01/22,Retail,Kolkata,-928.85
2241,Women,Soccer,Tiempo Legend,12,,9662.04,,0.0,2025/02/19,Online,hyderbad,-233.74
2046,Kids,Basketball,LeBron 20,,-1.0,4934.46,0.86,-690.82,,Retail,Kolkata,2237.95
2243,Men,Lifestyle,Blazer Mid,L,,9747.58,,0.0,07-11-2024,Retail,Delhi,266.31
2244,Kids,Training,Metcon 7,L,2.0,,,0.0,,Online,Delhi,1904.11
2245,Kids,Running,React Infinity,,,4128.35,,0.0,16-04-2025,Online,Pune,-290.33
2246,Kids,Basketball,LeBron 20,L,-1.0,7806.98,,0.0,02-10-2024,Online,Hyderabad,-943.35
2247,Women,Training,Metcon 7,,,,,0.0,16-08-2024,Online,Mumbai,-1158.15
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,bengaluru,1625.14
2249,Men,Training,Flex Trainer,M,,7730.77,,0.0,2024-05-28,Online,Delhi,-692.94
2250,Men,Basketball,Kyrie Flytrap,XL,,,,0.0,2024-10-01,Retail,Pune,821.13
2046,Men,Basketball,Air Jordan,,2.0,9593.65,,0.0,11-01-2025,Online,hyderbad,1592.5
2252,Women,Running,Free RN,L,,,,0.0,,Retail,Delhi,934.87
2253,Men,Training,Flex Trainer,M,0.0,,,0.0,18-05-2025,Online,bengaluru,1516.72
2254,Women,Basketball,LeBron 20,M,,,0.89,0.0,24-04-2025,Online,Hyd,1642.0
2255,Kids,Basketball,LeBron 20,XL,,2222.55,0.84,0.0,2025/04/06,Retail,Mumbai,586.56
2256,Men,Soccer,Phantom GT,,,,,0.0,2025/03/30,Online,hyderbad,3175.83
2257,Men,Basketball,Kyrie Flytrap,XL,1.0,,,0.0,2025/02/09,Online,Mumbai,-365.42
2258,Women,Lifestyle,Dunk Low,L,,,0.39,0.0,2023-11-21,Online,Mumbai,2824.7
2259,Women,Soccer,Mercurial Superfly,M,,,,0.0,2024/10/20,Retail,Delhi,2323.89
2260,Women,Lifestyle,Dunk Low,M,2.0,,,0.0,2024/12/12,Retail,Pune,-352.18
2261,Women,Training,ZoomX Invincible,,,2503.6,0.54,0.0,04-10-2024,Retail,Pune,1574.74
2262,Women,Running,Pegasus Turbo,L,0.0,,,0.0,2024-09-15,Retail,Pune,3146.93
2263,Women,Soccer,Premier III,M,0.0,5172.14,,0.0,2024/10/08,Online,Kolkata,2510.55
2264,Men,Training,ZoomX Invincible,,4.0,5622.32,1.08,-1799.14,2024-04-22,Retail,bengaluru,1248.25
2265,Women,Soccer,Premier III,7,,2422.97,,0.0,2024/11/23,Retail,Delhi,-67.74
2266,Women,Basketball,LeBron 20,L,,,,0.0,19-07-2025,Retail,Kolkata,3475.59
2267,Women,Running,Air Zoom,M,-1.0,3075.72,,0.0,2024-12-20,Retail,Kolkata,238.78
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,,0.0,2023-11-16,Online,Kolkata,518.71
